net,length_um
_0054_,13.87µm
_0478_,13.86µm
_1745_,13.86µm
_0698_,13.84µm
_1731_,13.84µm
_1743_,13.84µm
_1330_,13.8µm
_0346_,13.76µm
_0859_,13.76µm
_1960_,13.76µm
net295,13.76µm
_1109_,13.74µm
_2000_,13.74µm
_0908_,13.72µm
_1077_,13.72µm
net14,13.72µm
D_c_flat[22],13.69µm
D_c_flat[23],13.69µm
_0441_,13.68µm
systolic_unit_0.U_00.acc_0\[10\],13.68µm
_0785_,13.66µm
systolic_unit_0.U_10.out_a\[5\],13.66µm
_1071_,13.64µm
matrix_count\[1\],13.64µm
_1903_,13.62µm
net40,13.62µm
net314,13.62µm
_1656_,13.6µm
_0727_,13.56µm
_1138_,13.56µm
_0985_,13.52µm
_1298_,13.52µm
_1529_,13.52µm
_2062_,13.52µm
_1106_,13.48µm
_2003_,13.48µm
_2105_,13.48µm
systolic_unit_0.U_11.acc_1\[1\],13.48µm
_1152_,13.475µm
_1303_,13.46µm
_2074_,13.46µm
net29,13.46µm
_1315_,13.44µm
_1547_,13.44µm
_2051_,13.44µm
_1230_,13.42µm
_0532_,13.4µm
_0621_,13.38µm
_1248_,13.38µm
_2085_,13.38µm
systolic_unit_0.U_11.acc_1\[11\],13.36µm
_0511_,13.28µm
_1575_,13.28µm
_0275_,13.26µm
_1259_,13.26µm
_0248_,13.22µm
_1710_,13.22µm
net37,13.22µm
_0091_,13.19µm
