Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_88_463,VPWR,li1,221.2600,252.9600,1.799927
FILLER_88_457,VPWR,li1,216.4300,252.9600,1.799927
FILLER_88_449,VPWR,li1,213.9000,252.9600,1.799928
FILLER_88_437,VPWR,li1,209.3000,252.9600,1.799931
FILLER_88_425,VPWR,li1,203.7800,252.9600,1.799933
FILLER_88_419,VPWR,li1,198.4900,252.9600,1.799936
FILLER_88_400,VPWR,li1,190.2100,252.9600,1.799943
FILLER_88_365,VPWR,li1,174.8000,252.9600,1.799960
FILLER_88_362,VPWR,li1,172.5000,252.9600,1.799954
FILLER_88_354,VPWR,li1,170.2000,252.9600,1.799944
FILLER_88_337,VPWR,li1,161.0000,252.9600,1.799925
FILLER_88_316,VPWR,li1,151.8000,252.9600,1.799905
FILLER_88_306,VPWR,li1,146.7400,252.9600,1.799892
FILLER_88_296,VPWR,li1,142.1400,252.9600,1.799885
FILLER_88_288,VPWR,li1,139.8400,252.9600,1.799881
FILLER_88_253,VPWR,li1,124.6600,252.9600,1.799854
FILLER_88_251,VPWR,li1,121.2100,252.9600,1.799846
FILLER_88_245,VPWR,li1,119.6000,252.9600,1.799846
FILLER_88_232,VPWR,li1,112.7000,252.9600,1.799843
FILLER_88_197,VPWR,li1,98.9000,252.9600,1.799860
FILLER_88_195,VPWR,li1,95.4500,252.9600,1.799868
FILLER_88_189,VPWR,li1,93.8400,252.9600,1.799868
FILLER_88_177,VPWR,li1,89.7000,252.9600,1.799874
FILLER_88_165,VPWR,li1,84.1800,252.9600,1.799885
FILLER_88_153,VPWR,li1,78.6600,252.9600,1.799892
FILLER_88_141,VPWR,li1,73.1400,252.9600,1.799901
FILLER_88_139,VPWR,li1,69.6900,252.9600,1.799909
FILLER_88_133,VPWR,li1,68.0800,252.9600,1.799909
FILLER_88_121,VPWR,li1,63.9400,252.9600,1.799915
FILLER_88_109,VPWR,li1,58.4200,252.9600,1.799926
FILLER_88_97,VPWR,li1,52.9000,252.9600,1.799933
