Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_88_139,VGND,li1,69.6900,250.2400,0.000101
FILLER_88_133,VGND,li1,68.0800,250.2400,0.000101
FILLER_88_121,VGND,li1,63.9400,250.2400,0.000093
FILLER_88_109,VGND,li1,58.4200,250.2400,0.000081
FILLER_88_97,VGND,li1,52.9000,250.2400,0.000072
FILLER_88_85,VGND,li1,47.3800,250.2400,0.000062
FILLER_88_83,VGND,li1,43.9300,250.2400,0.000052
FILLER_88_77,VGND,li1,42.3200,250.2400,0.000052
FILLER_88_65,VGND,li1,38.1800,250.2400,0.000044
FILLER_88_53,VGND,li1,32.6600,250.2400,0.000034
FILLER_88_41,VGND,li1,27.1400,250.2400,0.000023
FILLER_88_29,VGND,li1,21.6200,250.2400,0.000019
FILLER_88_27,VGND,li1,18.1700,250.2400,0.000019
FILLER_88_15,VGND,li1,15.1800,250.2400,0.000019
FILLER_88_3,VGND,li1,9.6600,250.2400,0.000019
FILLER_87_553,VGND,li1,260.1300,250.2400,0.000103
FILLER_87_541,VGND,li1,257.1400,250.2400,0.000103
FILLER_87_529,VGND,li1,251.6200,250.2400,0.000103
FILLER_87_517,VGND,li1,246.1000,250.2400,0.000103
FILLER_87_505,VGND,li1,240.5800,250.2400,0.000103
FILLER_87_503,VGND,li1,237.1300,250.2400,0.000103
FILLER_87_495,VGND,li1,235.0600,250.2400,0.000103
FILLER_87_483,VGND,li1,230.4600,250.2400,0.000103
FILLER_87_471,VGND,li1,224.9400,250.2400,0.000103
FILLER_87_453,VGND,li1,214.1300,250.2400,0.000096
FILLER_87_449,VGND,li1,212.9800,250.2400,0.000094
FILLER_87_436,VGND,li1,208.8400,250.2400,0.000090
FILLER_87_424,VGND,li1,203.3200,250.2400,0.000083
FILLER_87_412,VGND,li1,197.8000,250.2400,0.000074
FILLER_87_401,VGND,li1,190.4400,250.2400,0.000065
FILLER_87_393,VGND,li1,188.1400,250.2400,0.000062
FILLER_87_380,VGND,li1,183.0800,250.2400,0.000053
FILLER_87_372,VGND,li1,177.1000,250.2400,0.000051
FILLER_87_360,VGND,li1,173.8800,250.2400,0.000063
FILLER_87_348,VGND,li1,168.3600,250.2400,0.000077
FILLER_87_337,VGND,li1,161.4600,250.2400,0.000092
FILLER_87_333,VGND,li1,159.3900,250.2400,0.000097
FILLER_87_318,VGND,li1,153.6400,250.2400,0.000110
FILLER_87_306,VGND,li1,149.0400,250.2400,0.000120
FILLER_87_301,VGND,li1,144.4400,250.2400,0.000130
FILLER_87_293,VGND,li1,142.1400,250.2400,0.000134
FILLER_87_281,VGND,li1,137.5400,250.2400,0.000146
FILLER_87_273,VGND,li1,131.7900,250.2400,0.000158
FILLER_87_265,VGND,li1,129.2600,250.2400,0.000161
FILLER_87_253,VGND,li1,124.6600,250.2400,0.000167
FILLER_87_241,VGND,li1,119.1400,250.2400,0.000176
FILLER_87_233,VGND,li1,112.9300,250.2400,0.000181
FILLER_87_225,VGND,li1,110.8600,250.2400,0.000179
FILLER_87_216,VGND,li1,106.7200,250.2400,0.000174
FILLER_87_211,VGND,li1,102.8100,250.2400,0.000165
FILLER_87_205,VGND,li1,101.2000,250.2400,0.000165
FILLER_87_193,VGND,li1,97.0600,250.2400,0.000154
FILLER_87_181,VGND,li1,91.5400,250.2400,0.000146
FILLER_87_169,VGND,li1,86.0200,250.2400,0.000136
FILLER_87_167,VGND,li1,82.5700,250.2400,0.000126
FILLER_87_161,VGND,li1,80.9600,250.2400,0.000126
FILLER_87_149,VGND,li1,76.8200,250.2400,0.000118
FILLER_87_137,VGND,li1,71.3000,250.2400,0.000105
FILLER_87_125,VGND,li1,65.7800,250.2400,0.000097
FILLER_87_113,VGND,li1,60.2600,250.2400,0.000086
FILLER_87_111,VGND,li1,56.8100,250.2400,0.000077
FILLER_87_105,VGND,li1,55.2000,250.2400,0.000077
FILLER_87_93,VGND,li1,51.0600,250.2400,0.000069
FILLER_87_81,VGND,li1,45.5400,250.2400,0.000056
FILLER_87_69,VGND,li1,40.0200,250.2400,0.000048
FILLER_87_57,VGND,li1,34.5000,250.2400,0.000037
FILLER_87_55,VGND,li1,31.0500,250.2400,0.000028
FILLER_87_51,VGND,li1,29.9000,250.2400,0.000028
FILLER_87_39,VGND,li1,26.2200,250.2400,0.000019
FILLER_87_27,VGND,li1,20.7000,250.2400,0.000019
FILLER_87_15,VGND,li1,15.1800,250.2400,0.000019
FILLER_87_3,VGND,li1,9.6600,250.2400,0.000019
FILLER_86_553,VGND,li1,260.1300,244.8000,0.000349
FILLER_86_545,VGND,li1,258.0600,244.8000,0.000349
FILLER_86_533,VGND,li1,253.4600,244.8000,0.000349
FILLER_86_531,VGND,li1,250.0100,244.8000,0.000349
FILLER_86_525,VGND,li1,248.4000,244.8000,0.000349
FILLER_86_513,VGND,li1,244.2600,244.8000,0.000349
FILLER_86_501,VGND,li1,238.7400,244.8000,0.000349
FILLER_86_489,VGND,li1,233.2200,244.8000,0.000349
FILLER_86_477,VGND,li1,227.7000,244.8000,0.000349
FILLER_86_475,VGND,li1,224.2500,244.8000,0.000349
FILLER_86_469,VGND,li1,222.6400,244.8000,0.000349
FILLER_86_458,VGND,li1,216.4300,244.8000,0.000346
FILLER_86_447,VGND,li1,212.0600,244.8000,0.000332
FILLER_86_421,VGND,li1,200.5600,244.8000,0.000251
FILLER_86_419,VGND,li1,198.4900,244.8000,0.000234
FILLER_86_415,VGND,li1,197.3400,244.8000,0.000234
FILLER_86_409,VGND,li1,193.8900,244.8000,0.000210
FILLER_86_401,VGND,li1,191.8200,244.8000,0.000189
FILLER_86_389,VGND,li1,187.2200,244.8000,0.000145
FILLER_86_377,VGND,li1,181.7000,244.8000,0.000108
FILLER_86_365,VGND,li1,176.1800,244.8000,0.000083
FILLER_86_363,VGND,li1,172.7300,244.8000,0.000082
FILLER_86_357,VGND,li1,171.1200,244.8000,0.000082
FILLER_86_345,VGND,li1,166.9800,244.8000,0.000081
FILLER_86_333,VGND,li1,161.4600,244.8000,0.000080
FILLER_86_321,VGND,li1,155.9400,244.8000,0.000079
FILLER_86_309,VGND,li1,150.4200,244.8000,0.000078
FILLER_86_307,VGND,li1,146.9700,244.8000,0.000077
FILLER_86_301,VGND,li1,144.2100,244.8000,0.000077
FILLER_86_295,VGND,li1,142.6000,244.8000,0.000076
FILLER_86_283,VGND,li1,138.4600,244.8000,0.000074
FILLER_86_271,VGND,li1,132.9400,244.8000,0.000073
FILLER_86_261,VGND,li1,126.2700,244.8000,0.000070
FILLER_86_253,VGND,li1,123.7400,244.8000,0.000068
FILLER_86_251,VGND,li1,121.2100,244.8000,0.000066
FILLER_86_245,VGND,li1,119.6000,244.8000,0.000066
FILLER_86_233,VGND,li1,115.4600,244.8000,0.000063
FILLER_86_221,VGND,li1,109.9400,244.8000,0.000059
FILLER_86_209,VGND,li1,104.4200,244.8000,0.000056
FILLER_86_197,VGND,li1,98.9000,244.8000,0.000053
FILLER_86_195,VGND,li1,95.4500,244.8000,0.000049
FILLER_86_189,VGND,li1,93.8400,244.8000,0.000049
FILLER_86_177,VGND,li1,89.7000,244.8000,0.000047
FILLER_86_165,VGND,li1,84.1800,244.8000,0.000043
FILLER_86_153,VGND,li1,78.6600,244.8000,0.000040
FILLER_86_141,VGND,li1,73.1400,244.8000,0.000036
FILLER_86_139,VGND,li1,69.6900,244.8000,0.000033
FILLER_86_133,VGND,li1,68.0800,244.8000,0.000033
FILLER_86_121,VGND,li1,63.9400,244.8000,0.000031
FILLER_86_109,VGND,li1,58.4200,244.8000,0.000026
FILLER_86_97,VGND,li1,52.9000,244.8000,0.000024
FILLER_86_85,VGND,li1,47.3800,244.8000,0.000020
FILLER_86_83,VGND,li1,43.9300,244.8000,0.000017
FILLER_86_77,VGND,li1,42.3200,244.8000,0.000017
FILLER_86_65,VGND,li1,38.1800,244.8000,0.000014
FILLER_86_53,VGND,li1,32.6600,244.8000,0.000011
FILLER_86_41,VGND,li1,27.1400,244.8000,0.000008
FILLER_86_29,VGND,li1,21.6200,244.8000,0.000006
FILLER_86_27,VGND,li1,18.1700,244.8000,0.000006
